Customer_ID,Signup_Date,Signup_Month,Region,Plan,Acquisition_Channel,Monthly_Fee,Tenure_Months,Support_Tickets,Usage_Score,Payment_Issues,Discount_Used,Churned,Churn_Date,Churn_Reason,Customer_Lifetime_Value
CUST-0001,2025-11-24,2025-11,Middle East,Basic,Organic Search,19,2,2,61,No,No,Yes,2025-12-31,Price too high,38
CUST-0002,2025-09-16,2025-09,Europe,Pro,Referral,49,4,1,50,No,No,No,,,196
CUST-0003,2025-05-23,2025-05,Asia-Pacific,Basic,Paid Ads,19,8,2,59,No,No,No,,,152
CUST-0004,2025-07-05,2025-07,Middle East,Pro,Organic Search,49,2,1,82,Yes,No,Yes,2025-08-03,Payment issue,98
CUST-0005,2025-07-06,2025-07,Europe,Basic,Referral,19,6,1,28,Yes,No,No,,,114
CUST-0006,2025-04-23,2025-04,Asia-Pacific,Pro,Social Media,49,9,1,72,No,No,No,,,441
CUST-0007,2025-05-07,2025-05,Europe,Pro,Social Media,49,8,0,78,No,No,No,,,392
CUST-0008,2025-07-17,2025-07,Asia-Pacific,Basic,Paid Ads,19,6,4,48,Yes,No,Yes,2025-12-15,Low product usage,114
CUST-0009,2025-01-02,2025-01,Asia-Pacific,Enterprise,Organic Search,149,9,0,75,No,No,Yes,2025-09-29,Missing features,1341
CUST-0010,2025-02-27,2025-02,Asia-Pacific,Enterprise,Social Media,149,4,1,81,No,No,Yes,2025-05-31,Poor support experience,596
CUST-0011,2025-03-07,2025-03,Asia-Pacific,Pro,Organic Search,49,10,0,63,No,No,No,,,490
CUST-0012,2025-01-11,2025-01,North America,Pro,Organic Search,49,3,3,78,No,No,Yes,2025-03-10,Price too high,147
CUST-0013,2025-09-06,2025-09,North America,Basic,Partner,19,3,0,46,No,No,Yes,2025-11-06,Low product usage,57
CUST-0014,2025-07-30,2025-07,Middle East,Basic,Referral,19,6,2,54,No,No,No,,,114
CUST-0015,2025-05-08,2025-05,North America,Enterprise,Social Media,149,2,1,69,No,No,Yes,2025-06-03,Switched competitor,298
CUST-0016,2025-05-02,2025-05,Europe,Basic,Organic Search,19,8,1,58,No,No,No,,,152
CUST-0017,2025-03-21,2025-03,North America,Basic,Organic Search,19,5,2,48,No,Yes,Yes,2025-07-22,Price too high,95
CUST-0018,2025-04-06,2025-04,North America,Basic,Social Media,19,2,0,79,No,No,Yes,2025-05-02,Low product usage,38
CUST-0019,2025-10-26,2025-10,North America,Pro,Organic Search,49,3,1,54,No,Yes,No,,,147
CUST-0020,2025-02-07,2025-02,Middle East,Basic,Referral,19,3,3,68,No,Yes,Yes,2025-04-06,Low product usage,57
CUST-0021,2025-03-22,2025-03,Europe,Basic,Organic Search,19,4,4,51,No,No,Yes,2025-06-17,Missing features,76
CUST-0022,2025-02-24,2025-02,North America,Pro,Organic Search,49,5,2,83,No,No,Yes,2025-06-29,Low product usage,245
CUST-0023,2025-05-22,2025-05,North America,Basic,Organic Search,19,3,2,53,No,No,Yes,2025-07-18,Missing features,57
CUST-0024,2025-07-09,2025-07,North America,Pro,Organic Search,49,6,0,100,No,No,No,,,294
CUST-0025,2025-07-28,2025-07,Middle East,Enterprise,Partner,149,6,1,86,No,No,No,,,894
CUST-0026,2025-05-08,2025-05,Middle East,Basic,Organic Search,19,6,3,29,No,No,Yes,2025-10-03,Low product usage,114
CUST-0027,2025-05-23,2025-05,Asia-Pacific,Enterprise,Organic Search,149,8,0,61,No,No,No,,,1192
CUST-0028,2025-06-10,2025-06,Asia-Pacific,Basic,Organic Search,19,7,2,48,Yes,No,No,,,133
CUST-0029,2025-12-07,2025-12,Middle East,Enterprise,Referral,149,1,3,100,No,No,No,,,149
CUST-0030,2025-12-23,2025-12,North America,Basic,Paid Ads,19,1,4,45,No,No,No,,,19
CUST-0031,2025-10-08,2025-10,North America,Pro,Organic Search,49,3,2,44,No,No,No,,,147
CUST-0032,2025-03-28,2025-03,North America,Pro,Referral,49,5,1,62,No,No,Yes,2025-07-28,Missing features,245
CUST-0033,2025-02-07,2025-02,Asia-Pacific,Basic,Referral,19,11,1,37,No,Yes,No,,,209
CUST-0034,2025-03-04,2025-03,Asia-Pacific,Basic,Referral,19,10,3,53,No,No,No,,,190
CUST-0035,2025-11-23,2025-11,Middle East,Basic,Paid Ads,19,2,2,74,No,Yes,No,,,38
CUST-0036,2025-02-11,2025-02,North America,Basic,Referral,19,11,2,48,No,No,Yes,2025-12-08,Low product usage,209
CUST-0037,2025-07-19,2025-07,Asia-Pacific,Pro,Paid Ads,49,4,1,45,No,No,Yes,2025-10-17,Poor support experience,196
CUST-0038,2025-07-27,2025-07,Asia-Pacific,Pro,Partner,49,3,3,65,No,No,Yes,2025-09-26,Price too high,147
CUST-0039,2025-08-25,2025-08,North America,Basic,Paid Ads,19,5,1,59,No,No,No,,,95
CUST-0040,2025-01-27,2025-01,North America,Enterprise,Referral,149,3,1,50,No,No,Yes,2025-03-25,Price too high,447
CUST-0041,2025-08-31,2025-08,Europe,Pro,Organic Search,49,3,1,38,No,No,Yes,2025-10-27,Switched competitor,147
CUST-0042,2025-02-25,2025-02,Asia-Pacific,Pro,Referral,49,11,2,58,No,No,Yes,2025-12-25,Low product usage,539
CUST-0043,2025-07-09,2025-07,Middle East,Basic,Organic Search,19,6,0,65,No,No,No,,,114
CUST-0044,2025-11-12,2025-11,Europe,Pro,Paid Ads,49,2,0,79,No,No,No,,,98
CUST-0045,2025-08-19,2025-08,Europe,Basic,Referral,19,5,1,57,No,Yes,No,,,95
CUST-0046,2025-05-22,2025-05,Europe,Pro,Organic Search,49,5,1,86,No,No,Yes,2025-09-18,Price too high,245
CUST-0047,2025-12-21,2025-12,Middle East,Basic,Paid Ads,19,1,1,49,No,No,No,,,19
CUST-0048,2025-08-21,2025-08,North America,Basic,Organic Search,19,5,2,63,No,No,No,,,95
CUST-0049,2025-09-26,2025-09,Asia-Pacific,Pro,Social Media,49,3,1,84,No,No,Yes,2025-11-20,Missing features,147
CUST-0050,2025-12-24,2025-12,Middle East,Enterprise,Social Media,149,1,1,77,No,No,No,,,149
CUST-0051,2025-01-27,2025-01,Asia-Pacific,Basic,Organic Search,19,5,3,63,No,No,Yes,2025-05-25,Price too high,95
CUST-0052,2025-08-02,2025-08,Middle East,Pro,Organic Search,49,5,0,65,No,No,No,,,245
CUST-0053,2025-04-17,2025-04,North America,Pro,Organic Search,49,4,1,90,No,No,Yes,2025-07-15,Poor support experience,196
CUST-0054,2025-12-26,2025-12,North America,Pro,Organic Search,49,1,1,99,No,No,No,,,49
CUST-0055,2025-02-28,2025-02,Middle East,Pro,Partner,49,11,2,61,No,No,Yes,2025-12-20,Switched competitor,539
CUST-0056,2025-06-15,2025-06,North America,Pro,Organic Search,49,7,0,36,No,Yes,No,,,343
CUST-0057,2025-05-23,2025-05,Europe,Basic,Referral,19,8,1,55,No,No,No,,,152
CUST-0058,2025-08-21,2025-08,North America,Basic,Organic Search,19,4,2,19,No,Yes,Yes,2025-11-22,Low product usage,76
